State,Value
  1 1 111   ,-0.7798950929687498
  1 1 111  1,-0.95
  1 1 111 1 ,0.6922231406249997
  1 1 111 11,-0.8641496874999999
  1 1 1111  ,-0.04750000000000004
  1 1 1111 1,-2.5811559374999997
  1 1 11111 ,-0.006774687499999876
  1 1 111111,-0.9928687500000001
  1 11      ,-0.005518025310546765
  1 11     1,-0.07360591167968758
  1 11    1 ,-0.07360591167968758
  1 11    11,-0.7370263429687498
  1 11   1  ,-0.03491686480468755
  1 11   1 1,-0.74120604609375
  1 11   11 ,-0.8573749999999999
  1 11   111,-0.08155779687500009
  1 11  1   ,-0.07360591167968758
  1 11  1  1,-0.7370263429687498
  1 11  1 1 ,-0.95611415546875
  1 11  1 11,-0.12228310937500016
  1 11  11  ,0.03675459453125007
  1 11  11 1,-0.08155779687500009
  1 11  111 ,-0.08155779687500009
  1 11  1111,-0.9092746874999998
  1 11 1    ,-0.034916864804687586
  1 11 1   1,0.07747990703125009
  1 11 1  1 ,-0.95
  1 11 1  11,-0.95
  1 11 1 1  ,-0.7412060460937497
  1 11 1 1 1,-0.08155779687500009
  1 11 1 11 ,-0.8960640468750001
  1 11 1 111,-1.7237809375
  1 11 11   ,-0.8725200929687499
  1 11 11  1,-0.08155779687500009
  1 11 11 1 ,-0.12228310937500009
  1 11 11 11,-0.8641496874999999
  1 11 111  ,-0.988689046875
  1 11 111 1,-1.7666496874999997
  1 11 1111 ,0.04072531250000007
  1 11 11111,-0.09036875000000011
  1 111     ,-0.034916864804687524
  1 111    1,-0.7370263429687498
  1 111   1 ,-0.6983372960937497
  1 111   11,-0.8573749999999999
  1 111  1  ,-0.7370263429687498
  1 111  1 1,0.006435953124999894
  1 111  11 ,-0.08155779687500009
  1 111  111,-0.006774687499999876
  1 111 1   ,-0.006114155468749938
  1 111 1  1,-0.08155779687500009
  1 111 1 1 ,-0.08155779687500009
  1 111 1 11,0.0858503125000001
  1 111 11  ,-0.95
  1 111 11 1,-1.7666496874999997
  1 111 111 ,-1.6786559374999996
  1 111 1111,-0.9928687500000001
  1 1111    ,-0.7798950929687498
  1 1111   1,-0.08155779687500009
  1 1111  1 ,-0.896064046875
  1 1111  11,0.040725312500000034
  1 1111 1  ,-0.03868904687500006
  1 1111 1 1,-1.7666496874999997
  1 1111 11 ,0.08585031250000008
  1 1111 111,-0.9928687500000001
  1 11111   ,1.5947231406249998
  1 11111  1,-2.5811559374999997
  1 11111 1 ,-1.7237809375
  1 11111 11,-0.99286875
  1 111111  ,-1.7237809375
  1 111111 1,0.007131249999999811
  1 1111111 ,-0.9928687500000001
  1 11111111,0.1426250000000001
  11        ,0.6319079608028318
  11       1,-0.7038553214042966
  11      1 ,-0.7874493839042966
  11      11,-0.034916864804687524
  11     1  ,-0.7038553214042966
  11     1 1,-0.03491686480468756
  11     11 ,-0.04286875000000007
  11     111,0.07747990703125009
  11    1   ,-0.7038553214042966
  11    1  1,-0.03491686480468755
  11    1 1 ,0.0
  11    1 11,0.03675459453125006
  11    11  ,-0.03491686480468755
  11    11 1,-0.7737809374999999
  11    111 ,-0.7370263429687498
  11    1111,-0.1741827968750002
  11   1    ,-0.6651662745292967
  11   1   1,-0.034916864804687586
  11   1  1 ,-0.03491686480468756
  11   1  11,-0.7737809374999999
  11   1 1  ,-0.034916864804687586
  11   1 1 1,-0.7370263429687498
  11   1 11 ,0.07747990703124996
  11   1 111,0.7758172031249998
  11   11   ,0.7001750258203123
  11   11  1,-0.7370263429687498
  11   11 1 ,-0.8681204054687498
  11   11 11,-0.12228310937500006
  11   111  ,-0.7370263429687498
  11   111 1,-0.08155779687500007
  11   1111 ,-0.2577768593750003
  11   11111,-0.8641496874999999
  11  1     ,-0.6689384565996093
  11  1    1,-0.03491686480468755
  11  1   1 ,0.6247313844140621
  11  1   11,-0.7370263429687498
  11  1  1  ,-0.034916864804687496
  11  1  1 1,-0.7370263429687498
  11  1  11 ,0.0367545945312501
  11  1  111,-0.1741827968750002
  11  1 1   ,0.6573062758203122
  11  1 1  1,-0.7370263429687498
  11  1 1 1 ,-0.6124869835937495
  11  1 1 11,-0.08155779687500009
  11  1 11  ,-0.8206204054687497
  11  1 11 1,-0.9886890468750001
  11  1 111 ,-0.9435640468750001
  11  1 1111,-0.8641496874999999
  11  11    ,-0.06523550621093753
  11  11   1,-0.7370263429687498
  11  11  1 ,-0.7370263429687498
  11  11  11,-0.08155779687500009
  11  11 1  ,-0.006114155468749688
